timestamp,method,route,count,total_ms,avg_ms,p95_ms,max_ms,statuses,bytes,top_paths
2026-06-11T22:59:12+09:00,GET,/image/:filename{[0-9]+\.(png|jpg|gif)},987,18029.847,18.267,46.639,83.844,200:987,0,/image/9977.jpg:2 /image/9976.jpg:2 /image/9975.jpg:2
2026-06-11T22:59:12+09:00,GET,/:accountName{@[A-Za-z0-9_]+},360,14230.127,39.528,100.479,180.062,200:360,0,/@kathrine:4 /@sherrie:3 /@shana:3
2026-06-11T22:59:12+09:00,POST,/register,294,11344.66,38.587,65.248,134.785,302:294,0,/register:294
2026-06-11T22:59:12+09:00,GET,/*,3892,7797.952,2.004,12.788,61.555,200:3892,5187063,/favicon.ico:973 /js/timeago.min.js:973 /js/main.js:973
2026-06-11T22:59:12+09:00,POST,/,296,7557.459,25.532,70.159,111.68,302:148 422:148,0,/:296
2026-06-11T22:59:12+09:00,GET,/posts,188,5939.461,31.593,80.164,99.225,200:188,0,/posts:188
2026-06-11T22:59:12+09:00,POST,/comment,292,4413.28,15.114,37.922,75.511,302:292,0,/comment:292
2026-06-11T22:59:12+09:00,GET,/admin/banned,294,1565.408,5.325,17.782,43.858,403:294,0,/admin/banned:294
2026-06-11T22:59:12+09:00,GET,/initialize,1,644.603,644.603,644.603,644.603,200:1,0,/initialize:1
2026-06-11T22:59:12+09:00,GET,/login,100,456.647,4.566,19.305,51.176,200:100,0,/login:100
2026-06-11T22:59:12+09:00,GET,/logout,50,178.219,3.564,17.766,23.215,302:50,0,/logout:50
